Invoice_ID, Transaction_Date, Vendor                       , Amount , Description              , Payment_Method
INV-00004 , 2025-08-03      , POS-SHELL-386ECB             ,   80.64, Travel/Transport purchase, 
INV-00114 , 2025-03-03      , TARGET_CBD58B                ,  148.58, Office Supplies purchase , Wire
INV-00076 , 2025-09-24      , COMCAST *ECF27E              ,   51.12, Utilities purchase       , Wire
INV-00318 , 2025-05-27      , POS-SHELL-B1A8B7             ,   24.49, Travel/Transport purchase, ACH
INV-00064 , 2025-06-07      , UBER_5D59CD                  ,   13.77, Travel/Transport purchase, Wire
INV-00047 , 2025-01-30      , POS-SLACK-0CD620             ,  555.25, SaaS/Cloud purchase      , 
INV-00238 , 2025-06-16      , AMAZON MARKETPLACE_C6DEB2    ,   33.82, Office Supplies purchase , Corporate Card
INV-00077 , 2025-12-07      , Comcast #0077                ,   31.71, Utilities purchase       , 
INV-00073 , 2025-10-25      , Office Depot #0073           ,   29.27, Office Supplies purchase , Corporate Card
INV-00286 , 2025-04-25      , Slack #0286                  ,    8.42, SaaS/Cloud purchase      , Corporate Card
INV-00268 , 2025-05-10      , DUKE ENERGY *B9469B          ,   11.83, Utilities purchase       , Wire
INV-00195 , 2025-08-28      , STAPLES_F6802C               ,   33.53, Office Supplies purchase , ACH
INV-00168 , 2025-09-05      , At&T #0168                   ,  102.81, Utilities purchase       , 
INV-00332 , 2025-10-25      , SHELL *277946                ,   16.72, Travel/Transport purchase, 
INV-00210 , 04/16/2025      , SHELL *D46EF1                ,  366.6 , Travel/Transport purchase, 
INV-00102 , 2025-03-26      , POS-WALMART-D72B61           ,   22.8 , Office Supplies purchase , ACH
INV-00203 , 2025-12-10      , POS-DUKE ENERGY-F30A9E       ,   60.58, Utilities purchase       , 
INV-00330 , 05/26/2025      , TARGET *4027AB               ,   45.08, Office Supplies purchase , 
INV-00182 , 2025-08-25      , Lyft #0182                   ,   17.16, Travel/Transport purchase, Corporate Card
INV-00083 , 2025-12-12      , POS-CITY WATER-36B522        ,   78.31, Utilities purchase       , ACH
INV-00336 , 2025-09-05      , POS-AMAZON MARKETPLACE-3EB051,   27.23, Office Supplies purchase , Wire
INV-00017 , 2025-05-16      , VERIZON *23BED0              ,   15.51, Utilities purchase       , 
INV-00067 , 2025-01-13      , Airbnb #0067                 ,   28.59, Travel/Transport purchase, Corporate Card
INV-00184 , 2025-08-15      , Uber #0184                   ,   41.0 , Travel/Transport purchase, 
INV-00008 , 2025-08-24      , STAPLES_89463E               ,   49.34, Office Supplies purchase , Corporate Card
INV-00110 , not-a-date      , Github #0110                 ,   28.55, SaaS/Cloud purchase      , Wire
INV-00125 , 2025-02-17      , COMCAST *4B5305              ,   43.88, Utilities purchase       , Corporate Card
INV-00343 , 2025-03-23      , Verizon #0343                ,   35.14, Utilities purchase       , 
INV-00310 ,                 , DUKE ENERGY *ADEDDA          ,   26.27, Utilities purchase       , Corporate Card
INV-00342 , 2025-05-29      , POS-AWS-F204BE               ,   35.11, SaaS/Cloud purchase      , 
INV-00333 , 2025-01-22      , TARGET_D342AF                ,   31.48, Office Supplies purchase , Corporate Card
INV-00350 , 11-Oct-2025     , POS-DELTA AIRLINES-12D2FA    ,   26.08, Travel/Transport purchase, 
INV-00308 , 2025-08-17      , Duke Energy #0308            ,   20.4 , Utilities purchase       , 
INV-00061 , 2025-08-15      , POS-OFFICE DEPOT-8D3AED      ,   21.94, Office Supplies purchase , 
INV-00263 , 2025-03-19      , AT&T_F52D4A                  ,    3.64, Utilities purchase       , Corporate Card
INV-00282 , 2025-02-12      , SLACK *C35B9F                , 1152.0 , SaaS/Cloud purchase      , Wire
INV-00247 , 2025-07-23      , STAPLES_DC9C96               ,   22.01, Office Supplies purchase , Corporate Card
INV-00254 , 2025-06-29      , DELTA AIRLINES *BA3584       ,   58.62, Travel/Transport purchase, ACH
INV-00279 , 2025-05-25      , POS-CITY WATER-C73323        ,   31.35, Utilities purchase       , 
INV-00018 , 2025-08-08      ,                              ,   36.75, Office Supplies purchase , Wire
INV-00148 , 2025-10-04      , POS-TARGET-7E695D            ,   12.7 , Office Supplies purchase , Corporate Card
INV-00025 , 2025-11-24      , SLACK *81F631                ,   21.03, SaaS/Cloud purchase      , ACH
INV-00311 , 2025-12-14      , POS-SHELL-C8040F             ,   26.01, Travel/Transport purchase, Corporate Card
INV-00115 , 2025-02-05      , Duke Energy #0115            ,   26.44, Utilities purchase       , Corporate Card
INV-00204 , 2025-12-02      , POS-AIRBNB-19597B            ,   59.44, Travel/Transport purchase, 
INV-00154 , 2025-07-30      , POS-DELTA AIRLINES-B19499    ,   34.85, Travel/Transport purchase, Wire
INV-00221 , 2025-11-16      , Delta Airlines #0221         ,  134.9 , Travel/Transport purchase, Corporate Card
INV-00352 , 2025-07-28      , POS-LYFT-7C52FA              ,   27.79, Travel/Transport purchase, ACH
INV-00262 , 2025-10-20      , DROPBOX *A6DED1              ,   28.83, SaaS/Cloud purchase      , Wire
INV-00109 , 2025-03-20      , GITHUB *3D1148               ,   35.42, SaaS/Cloud purchase      , Corporate Card
INV-00267 , 2025-02-03      , SLACK_54669D                 ,   86.58, SaaS/Cloud purchase      , 
INV-00164 , 2025-05-05      , CITY WATER *74EFF5           ,   17.58, Utilities purchase       , Corporate Card
INV-00153 , 2025-07-29      , Duke Energy #0153            ,   19.26, Utilities purchase       , Corporate Card
INV-00020 , 2025-11-18      , POS-MICROSOFT AZURE-CAC5B6   ,   11.97, SaaS/Cloud purchase      , 
INV-00224 , 2025-08-21      , POS-DUKE ENERGY-66132E       ,   10.5 , Utilities purchase       , Corporate Card
INV-00080 ,                 , CITY WATER *E71E43           ,    8.23, Utilities purchase       , 
INV-00345 , 2025-01-12      , POS-WALMART-170D75           ,   22.06, Office Supplies purchase , 
INV-00019 , 2025-09-18      , LYFT_7E570D                  ,   16.61, Travel/Transport purchase, Corporate Card
INV-00250 , 11-Jan-2025     , POS-DROPBOX-2BFFE1           ,   38.99, SaaS/Cloud purchase      , Wire
INV-00105 , 2025-04-19      , Duke Energy #0105            ,   26.98, Utilities purchase       , Wire
INV-00312 , 2025-05-01      , Uber #0312                   ,   61.2 , Travel/Transport purchase, Wire
INV-00032 , 2025-05-07      , COMCAST_3985C3               ,   99.88, Utilities purchase       , Wire
INV-00037 , 2025-02-18      , POS-VERIZON-18D075           ,   34.32, Utilities purchase       , Wire
INV-00183 , 2025-08-27      , Staples #0183                ,   14.94, Office Supplies purchase , 
INV-00248 , 2025-02-09      , Dropbox #0248                ,   19.6 , SaaS/Cloud purchase      , 
INV-00297 , 2025-02-04      , SLACK *5844F9                ,   53.77, SaaS/Cloud purchase      , Corporate Card
INV-00245 , 2025-01-04      , POS-STAPLES-7F54A5           ,   13.73, Office Supplies purchase , ACH
INV-00166 , 2025-06-24      , Walmart #0166                ,   39.19, Office Supplies purchase , Corporate Card
INV-00313 , 2025-01-17      , AT&T *9AE77E                 ,   51.24, Utilities purchase       , Corporate Card
INV-00060 , 05/22/2025      , Dropbox #0060                ,   56.49, SaaS/Cloud purchase      , ACH
INV-00225 , 2025-06-10      , Walmart #0225                ,   22.05, Office Supplies purchase , Wire
INV-00251 , 2025-02-24      , POS-DROPBOX-3E49FD           ,   13.2 , SaaS/Cloud purchase      , 
INV-00112 , 2025-10-24      , Staples #0112                ,   29.45, Office Supplies purchase , 
INV-00337 , 2025-12-19      , COMCAST *0F5675              ,   17.52, Utilities purchase       , Corporate Card
INV-00007 , 2025-02-19      , Dropbox #0007                ,   83.64, SaaS/Cloud purchase      , 
INV-00257 , 2025-11-26      , At&T #0257                   ,   68.27, Utilities purchase       , Wire
INV-00235 , 2025-04-03      , STAPLES *DEAF52              , 3018.25, Office Supplies purchase , 
INV-00011 , 2025-07-14      , POS-UBER-472947              ,   22.17, Travel/Transport purchase, Wire
INV-00293 , 2025-05-30      , LYFT_6DE299                  ,   20.43, Travel/Transport purchase, 
INV-00255 , 2025-05-12      , MICROSOFT AZURE *328067      ,   11.16, SaaS/Cloud purchase      , 
INV-00082 , 2025-08-09      , Office Depot #0082           ,   37.79, Office Supplies purchase , Corporate Card
INV-00174 , 2025-06-23      , POS-DUKE ENERGY-9F8DED       ,   37.4 , Utilities purchase       , Corporate Card
INV-00200 , not-a-date      , Uber #0200                   ,   14.25, Travel/Transport purchase, Corporate Card
INV-00176 , 2025-02-05      , Github #0176                 ,   51.3 , SaaS/Cloud purchase      , ACH
INV-00232 , 2025-04-26      , POS-TARGET-CEA60F            ,   34.49, Office Supplies purchase , 
INV-00328 , 2025-01-29      , AT&T_D4D607                  ,   50.13, Utilities purchase       , 
INV-00296 , 2025-11-22      , Comcast #0296                ,   19.1 , Utilities purchase       , Wire
INV-00093 , 2025-09-06      , TARGET *A07295               ,   18.99, Office Supplies purchase , Wire
INV-00070 , 04/25/2025      , OFFICE DEPOT *A8F7EF         ,   19.7 , Office Supplies purchase , Corporate Card
INV-00234 , 2025-12-26      , Delta Airlines #0234         ,   19.62, Travel/Transport purchase, Wire
INV-00097 , 2025-10-05      , POS-DUKE ENERGY-7746D0       ,   36.32, Utilities purchase       , Corporate Card
INV-00144 , 2025-05-16      , MICROSOFT AZURE *C9AF18      ,   33.78, SaaS/Cloud purchase      , Corporate Card
INV-00291 , 2025-11-24      , POS-AIRBNB-CB3CF8            ,   26.17, Travel/Transport purchase, Corporate Card
INV-00098 , 2025-07-19      , AIRBNB_E7A37E                ,   35.51, Travel/Transport purchase, 
INV-00334 , 2025-05-16      , GITHUB *A6B074               ,   19.29, SaaS/Cloud purchase      , 
INV-00069 , 2025-04-24      , POS-DROPBOX-331734           ,   37.9 , SaaS/Cloud purchase      , Wire
INV-00024 , 2025-05-15      , COMCAST *F8CDA8              ,   11.87, Utilities purchase       , 
INV-00038 , 2025-08-28      , CITY WATER_DD2467            ,    8.38, Utilities purchase       , Corporate Card
INV-00145 , 2025-04-26      , GITHUB *A5CB63               ,   35.48, SaaS/Cloud purchase      , Wire
INV-00123 , 2025-04-08      , GITHUB *15EABB               ,   74.58, SaaS/Cloud purchase      , Corporate Card
INV-00068 , 2025-03-23      , DELTA AIRLINES_C99160        ,   57.53, Travel/Transport purchase, Corporate Card
INV-00283 , 2025-03-17      , POS-AT&T-D4BF7A              ,   84.01, Utilities purchase       , Corporate Card
INV-00186 , 2025-09-05      , AIRBNB *1B4DA0               ,   47.66, Travel/Transport purchase, Corporate Card
INV-00126 , 2025-12-06      , Delta Airlines #0126         ,  124.44, Travel/Transport purchase, Corporate Card
INV-00147 , 2025-03-05      , Walmart #0147                ,   13.41, Office Supplies purchase , Corporate Card
INV-00197 , 2025-10-02      , POS-SLACK-1FA382             ,   16.87, SaaS/Cloud purchase      , Wire
INV-00087 , 2025-08-01      , DROPBOX *E2D9DE              ,   54.33, SaaS/Cloud purchase      , Corporate Card
INV-00299 , 2025-11-20      , CITY WATER *2EA9C5           ,   50.82, Utilities purchase       , Corporate Card
INV-00173 , 2025-12-02      , AIRBNB *F84F16               ,   28.5 , Travel/Transport purchase, Corporate Card
INV-00300 , 2025-05-31      , COMCAST *0B36E3              ,   45.12, Utilities purchase       , Corporate Card
INV-00169 , 2025-06-14      , CITY WATER *DE9E37           ,   25.55, Utilities purchase       , ACH
INV-00269 , 2025-12-06      , Github #0269                 ,   22.51, SaaS/Cloud purchase      , Wire
INV-00223 , 2025-04-21      , POS-GITHUB-6E1910            ,   46.81, SaaS/Cloud purchase      , ACH
INV-00249 , 2025-07-27      , POS-AT&T-B5A1B9              ,   94.4 , Utilities purchase       , Wire
INV-00178 , 2025-01-15      , Delta Airlines #0178         ,   77.08, Travel/Transport purchase, Corporate Card
INV-00246 , 2025-09-30      , AIRBNB *B423CC               ,   24.11, Travel/Transport purchase, 
INV-00130 ,                 , Airbnb #0130                 ,   21.6 , Travel/Transport purchase, Corporate Card
INV-00039 , 2025-06-23      , DROPBOX_CCF3A1               ,   12.64, SaaS/Cloud purchase      , ACH
INV-00012 , 2025-07-01      , Delta Airlines #0012         ,   22.14, Travel/Transport purchase, Corporate Card
INV-00229 , 2025-12-07      , POS-DUKE ENERGY-F0EDE3       ,   18.82, Utilities purchase       , Corporate Card
INV-00281 , 2025-10-11      , DUKE ENERGY_EF2DDC           ,   32.26, Utilities purchase       , 
INV-00113 , 2025-04-12      , CITY WATER *137481           ,   31.16, Utilities purchase       , Corporate Card
INV-00228 , 2025-10-15      , Github #0228                 ,   14.87, SaaS/Cloud purchase      , Corporate Card
INV-00329 , 2025-03-26      , Delta Airlines #0329         , 1124.0 , Travel/Transport purchase, ACH
INV-00118 , 2025-08-12      , City Water #0118             ,   14.02, Utilities purchase       , Wire
INV-00326 , 2025-06-12      , MICROSOFT AZURE_A4704D       ,   13.61, SaaS/Cloud purchase      , Corporate Card
INV-00340 , 2025/99/99      , Delta Airlines #0340         ,   20.77, Travel/Transport purchase, ACH
INV-00256 , 2025-04-01      , POS-UBER-F387E1              ,   21.87, Travel/Transport purchase, Corporate Card
INV-00320 , 08-Dec-2025     , SLACK_B5A472                 ,   27.53, SaaS/Cloud purchase      , 
INV-00165 , 2025-09-18      , SHELL *BF0D07                ,   56.05, Travel/Transport purchase, Corporate Card
INV-00211 , 2025-06-18      , LYFT *C63D04                 ,   43.43, Travel/Transport purchase, 
INV-00239 , 2025-11-13      , LYFT_0CBD3C                  ,   19.49, Travel/Transport purchase, Wire
INV-00155 , 2025-01-19      , AT&T_746F78                  ,   36.25, Utilities purchase       , Wire
INV-00241 , 2025-02-28      , POS-SHELL-585D3F             ,   17.9 , Travel/Transport purchase, Corporate Card
INV-00003 , 2025-04-22      , AWS_3B8FAA                   ,   45.65, SaaS/Cloud purchase      , 
INV-00116 , 2025-02-24      , City Water #0116             ,   36.45, Utilities purchase       , Corporate Card
INV-00196 , 2025-10-13      , AIRBNB_5DA36F                ,   38.49, Travel/Transport purchase, Corporate Card
INV-00198 , 2025-07-15      , Target #0198                 ,   33.11, Office Supplies purchase , Corporate Card
INV-00240 , 2025/99/99      , POS-CITY WATER-7129CE        ,   52.15, Utilities purchase       , Wire
INV-00121 , 2025-04-04      , DUKE ENERGY *7CD012          ,   50.11, Utilities purchase       , Wire
INV-00273 , 2025-04-09      , WALMART *39FEB9              ,   63.82, Office Supplies purchase , ACH
INV-00292 , 2025-11-02      , DROPBOX_893AD2               ,   21.75, SaaS/Cloud purchase      , 
INV-00306 , 2025-05-31      , SHELL_523AE9                 ,   32.34, Travel/Transport purchase, Corporate Card
INV-00128 , 2025-05-09      , AMAZON MARKETPLACE_3B048A    ,   20.74, Office Supplies purchase , ACH
INV-00075 , 2025-10-23      , Dropbox #0075                ,    5.46, SaaS/Cloud purchase      , Corporate Card
INV-00287 , 2025-03-12      , Office Depot #0287           ,   27.15, Office Supplies purchase , Corporate Card
INV-00030 , 26-Mar-2025     , POS-AT&T-8715A1              ,   24.79, Utilities purchase       , ACH
INV-00084 , 2025-09-21      , Slack #0084                  ,        , SaaS/Cloud purchase      , Corporate Card
INV-00335 , 2025-11-24      , POS-AT&T-07C0D1              ,   56.48, Utilities purchase       , 
INV-00108 , 2025-01-16      , AWS *F319C1                  ,   33.56, SaaS/Cloud purchase      , ACH
INV-00285 , 2025-09-15      , DROPBOX *5FBBF0              ,  119.88, SaaS/Cloud purchase      , Corporate Card
INV-00289 , 2025-04-21      , SLACK *D5C024                ,   35.97, SaaS/Cloud purchase      , 
INV-00134 , 2025-05-26      , POS-GITHUB-782A65            ,   40.77, SaaS/Cloud purchase      , Corporate Card
INV-00185 , 2025-12-20      , POS-WALMART-40066F           ,   25.91, Office Supplies purchase , Wire
INV-00259 , 2025-01-29      , TARGET_5A18E2                ,   39.98, Office Supplies purchase , Wire
INV-00045 , 2025-05-27      , POS-WALMART-6C4A37           ,   11.46, Office Supplies purchase , ACH
INV-00325 , 2025-07-30      , POS-AT&T-C4E7F7              ,   15.58, Utilities purchase       , 
INV-00066 , 2025-03-21      , AT&T *ECFEDB                 ,   72.35, Utilities purchase       , ACH
INV-00305 , 2025-08-06      , POS-STAPLES-14348F           ,   29.56, Office Supplies purchase , 
INV-00086 , 2025-05-06      , POS-AWS-FBE33B               ,   21.63, SaaS/Cloud purchase      , 
INV-00187 , 2025-06-01      , Target #0187                 ,   40.76, Office Supplies purchase , Corporate Card
INV-00071 , 2025-02-05      , Amazon Marketplace #0071     ,   37.9 , Office Supplies purchase , Wire
INV-00160 ,                 , COMCAST *9BDF03              ,   45.91, Utilities purchase       , ACH
INV-00013 , 2025-05-06      , POS-SHELL-29D4BE             ,   35.07, Travel/Transport purchase, Corporate Card
INV-00036 , 2025-10-23      , SHELL *7900F7                ,   13.55, Travel/Transport purchase, Corporate Card
INV-00029 , 2025-09-30      , COMCAST *C40DB9              ,   20.28, Utilities purchase       , ACH
INV-00171 , 2025-09-11      , VERIZON_F6FEBC               ,   16.81, Utilities purchase       , ACH
INV-00143 , 2025-05-28      , Microsoft Azure #0143        ,   10.54, SaaS/Cloud purchase      , Corporate Card
INV-00151 , 2025-08-29      , POS-MICROSOFT AZURE-84DAD0   ,   35.26, SaaS/Cloud purchase      , Wire
INV-00222 , 2025-09-16      , POS-WALMART-9AFD40           ,    8.9 , Office Supplies purchase , Corporate Card
INV-00132 , 2025-03-06      , GITHUB_463944                ,   31.33, SaaS/Cloud purchase      , Corporate Card
INV-00230 , 09-Jun-2025     , TARGET *1A8591               ,   46.61, Office Supplies purchase , ACH
INV-00052 , 2025-06-11      , WALMART_EDD425               ,   23.33, Office Supplies purchase , Corporate Card
INV-00096 , 2025-12-28      , VERIZON_36C59D               ,   11.57, Utilities purchase       , Corporate Card
INV-00290 , 2025-05-28      , COMCAST_4D183E               ,   19.99, Utilities purchase       , Corporate Card
INV-00179 , 2025-07-11      , AMAZON MARKETPLACE *6E417D   ,   25.23, Office Supplies purchase , ACH
INV-00205 , 2025-01-17      , Duke Energy #0205            ,   12.24, Utilities purchase       , ACH
INV-00124 , 2025-05-04      , POS-AT&T-B0CBC6              ,   12.05, Utilities purchase       , Corporate Card
INV-00042 , 2025-11-30      , AWS_FFD0F9                   ,   33.49, SaaS/Cloud purchase      , Corporate Card
INV-00090 , 2025-08-22      , POS-UBER-CD29A3              ,   41.83, Travel/Transport purchase, 
INV-00276 , 2025-01-23      , Airbnb #0276                 ,   40.46, Travel/Transport purchase, ACH
INV-00207 , 2025-11-27      , TARGET_5BD20C                ,   41.88, Office Supplies purchase , Corporate Card
INV-00137 , 2025-06-05      , SHELL *15CE6A                ,   18.01, Travel/Transport purchase, Corporate Card
INV-00027 , 2025-01-10      , Walmart #0027                ,   14.18, Office Supplies purchase , Wire
INV-00346 , 2025-04-21      , Verizon #0346                ,   34.84, Utilities purchase       , Corporate Card
INV-00142 , 2025-08-19      , POS-DROPBOX-B07AA0           ,   70.08, SaaS/Cloud purchase      , Wire
INV-00295 , 2025-09-27      , STAPLES_8B48F4               ,   37.79, Office Supplies purchase , Corporate Card
INV-00005 , 2025-03-23      , POS-STAPLES-B2B943           ,   25.73, Office Supplies purchase , Wire
INV-00001 , 2025-05-21      , AWS *3EB13B                  ,   41.38, SaaS/Cloud purchase      , ACH
INV-00317 , 2025-03-02      , At&T #0317                   ,   46.68, Utilities purchase       , Corporate Card
INV-00303 , 2025-07-08      , POS-STAPLES-6FDC0B           ,   48.7 , Office Supplies purchase , Corporate Card
INV-00321 , 2025-03-22      , AMAZON MARKETPLACE *B6391F   ,   31.91, Office Supplies purchase , Wire
INV-00101 , 2025-08-12      , DELTA AIRLINES_7C5308        ,   11.94, Travel/Transport purchase, Corporate Card
INV-00227 , 2025-07-10      , COMCAST *CFD01C              ,   31.24, Utilities purchase       , 
INV-00193 , 2025-10-04      , Lyft #0193                   ,   34.44, Travel/Transport purchase, 
INV-00304 , 2025-04-06      , POS-DUKE ENERGY-7F072C       ,   44.56, Utilities purchase       , Wire
INV-00219 , 2025-08-07      , CITY WATER_AFA415            ,   21.86, Utilities purchase       , Corporate Card
INV-00214 , 2025-05-02      , Slack #0214                  ,   45.76, SaaS/Cloud purchase      , Corporate Card
INV-00104 , 2025-08-25      , VERIZON_2E85CB               ,   17.79, Utilities purchase       , Wire
INV-00172 , 2025-08-14      , POS-STAPLES-1986B4           ,   17.63, Office Supplies purchase , Corporate Card
INV-00099 , 2025-01-04      , City Water #0099             ,   30.06, Utilities purchase       , Wire
INV-00216 , 2025-09-01      , Aws #0216                    ,   49.07, SaaS/Cloud purchase      , 
INV-00062 , 2025-02-08      , AWS *F1EEDB                  ,   26.56, SaaS/Cloud purchase      , 
INV-00048 , 2025-09-18      , UBER *14822F                 ,   59.57, Travel/Transport purchase, Corporate Card
INV-00033 , 2025-10-11      , GITHUB *3AE8CC               ,   29.7 , SaaS/Cloud purchase      , Corporate Card
INV-00201 , 2025-01-24      , MICROSOFT AZURE_F23E32       ,   37.81, SaaS/Cloud purchase      , Wire
INV-00315 , 2025-07-07      , Shell #0315                  ,   70.0 , Travel/Transport purchase, Wire
INV-00028 , 2025-05-04      , UBER_E0C53C                  ,   38.25, Travel/Transport purchase, Corporate Card
INV-00278 , 2025-08-29      , DELTA AIRLINES *E76ADC       ,   20.28, Travel/Transport purchase, Wire
INV-00231 , 2025-02-25      , Verizon #0231                ,   18.64, Utilities purchase       , Corporate Card
INV-00261 , 2025-11-01      , POS-GITHUB-81CF32            ,   16.4 , SaaS/Cloud purchase      , Corporate Card
INV-00163 , 2025-09-18      , Duke Energy #0163            ,   63.63, Utilities purchase       , Corporate Card
INV-00302 , 2025-05-27      , MICROSOFT AZURE_5B62A8       ,   20.82, SaaS/Cloud purchase      , Wire
INV-00139 , 2025-08-15      , POS-CITY WATER-4C1F55        ,   50.85, Utilities purchase       , Wire
INV-00063 , 2025-10-26      , SLACK *8D7248                ,   14.6 , SaaS/Cloud purchase      , Corporate Card
INV-00136 , 2025-09-09      , DROPBOX_12F70C               ,   82.06, SaaS/Cloud purchase      , ACH
INV-00129 , 2025-10-02      , STAPLES *F36CB6              ,   31.97, Office Supplies purchase , ACH
INV-00009 , 2025-05-31      , Github #0009                 ,   22.08, SaaS/Cloud purchase      , 
